"","W1GrssyrMP","W1GrssyrHH","W1wrk1aMP","W1condur5MP","W1hea2MP","W1NoldBroHS","W1InCarHH","W1hous12HH","W1usevcHH","W1hiqualmum","W1hiqualdad","W1wrkfulldad","W1wrkfullmum","W1empsmum","W1empsdad","W1ch0_2HH","W1ch3_11HH","W1ch12_15HH","W1ch16_17HH","IndSchool","W1marstatmum","W1depkids","W1famtyp2","W1nssecfam","W1ethgrpYP","W1heposs9YP","W1hwndayYP","W1truantYP","W1alceverYP","W1bulrc","W1disabYP","W1yschat1","W2ghq12scr","W2disc1YP","W2depressYP","W4AlcFreqYP","W4CannTryYP","W4NamesYP","W4RacismYP","W4empsYP","W4schatYP","W4Childck1YP","W5JobYP","W5EducYP","W5Apprent1YP","W6JobYP","W6UnivYP","W6EducYP","W6Apprent1YP","W6acqno","W6gcse","W6als","W6OwnchiDV","W6Childliv","W6DebtattYP","W6NEETAct","W8DDEGP","W8DGHQSC","W8DMARSTAT","W8TENURE","W8DACTIVITY","W8QMAFI","W8DINCW"
"3060",NA,NA,"2","1","2","1","1","1","1","14","4","1","2","2","1","0","0","2","0","0","2","2","0","2","1","4","5","2","2","2","3",45,1,"2","1","3","1","1","2","5",16,NA,"1","1","2","1","2","2","2","9","4","4","2",NA,21,NA,"1",3,"1","2","1","1",351.49
"3061",NA,NA,"2","1","2","0","1","2","1","15","1","1","2","2","1","0","0","1","1","0","2","2","0","1","1","1","3","2","2","1","2",41,0,"2","2","3","2","2","2","5",13,NA,"2","1","2","2","1",NA,NA,"1","4","4","2",NA,11,NA,"1",0,"1","4","6","1",413.08
"3062",NA,NA,"4","1","2","0","1","1","1","2","7","1","2","2","1","0","0","1","0","0","2","1","0","1","1","1","5","2","1","1","3",30,1,"2","2","4","2","2","2","5",13,NA,"1","1","2","2","1",NA,NA,"1","4","4","2",NA,12,NA,"1",0,"1","5","1","1",344.27
"3063",NA,NA,"1","1","2","1","1","1","1","6","2","1","2","2","1","0","1","1","0","0","2","2","0","2","1","1","2","2","2","2","3",39,1,"2","1","3","2","2","2","5",19,NA,"1","1","2","2","1",NA,NA,"1","4","4","2",NA,19,NA,"1",1,"1","2","1","1",360.77
"3064",NA,NA,"1","1","2","0","1","2","1","1",NA,NA,"1","1",NA,"0","0","1","1","0","1","2","1","2","1","1","3","2","2","2","3",43,0,"2","1",NA,"2","2","2","5",13,NA,"2","1","2","2","1",NA,NA,"1","4","4","2",NA,17,NA,"1",0,"1","4","1","1",310.2
"3065",NA,NA,"1","1","2","1","1","2","1","2","15","2","1","1","2","0","0","2","0","0","2","2","0","4","1","1","5","2","2","2","3",46,0,"2","1","3","2","1","2","5",11,NA,"2","1","2","2","1",NA,NA,"1","4","4","2",NA,11,NA,"1",0,"1","4","1","1",277.18
"3066",NA,NA,"2","1","2","0","1","2","1","7","9","1","2","2","1","0","0","1","0","0","2","1","0","1","1","1","3","2","2","1","3",46,0,"2","2","3","2","2","2","5",11,NA,"1","1","2","2","1",NA,NA,"1","4","4","2",NA,14,NA,"1",2,"1","4","6","1",418.73
"3067",NA,NA,"1","1","2","0","1","1","1","14","15","1","1","1","1","0","0","1","0","0","2","1","0","7","1","2","5","2","1","1","3",27,1,"2","3","3","1","2","2","5",17,NA,"1","1","2","2","1",NA,NA,"1","4","4","2",NA,8,NA,"1",0,"1","4","1","1",378.54
"3068",NA,NA,"2","1","1","1","1","2","1","15","16","1","2","2","1","1","0","1","0","0","3","2","0","5","1","2","4","2","2","2","3",33,0,"2","2","3","2","2","2","5",13,NA,"1","1","2","2","1",NA,NA,"1","4","4","2",NA,12,NA,"1",0,"1","4","1","1",374.3
"3069",NA,NA,"1","1","1","0","1","2","1","2","4","1","1","1","1","0","0","1","0","0","2","1","0","2","1","1","2","1","1","2","3",18,0,"2","1","2","1","2","2","5",11,NA,"1","2","2","1","2","2","2","9","4","4","2",NA,9,NA,"1",0,"1","2","1","1",394.41
"3070",NA,NA,"1","1","2","0","1","2","1","15","8","1","1","1","1","0","0","1","0","1","2","1","0","1","1","1","5","2","2","2","3",43,1,"2","2","2","1","1","2","5",16,NA,"2","2","2","2","1",NA,NA,"1","4","4","2",NA,15,NA,"1",0,"2","2","1","1",389.6
"3071",NA,NA,"1","1","2","0","1","4","1","7",NA,NA,"1","1",NA,"0","0","1","1","0","5","2","1","5","1","2","3","2","2","2","3",37,0,"2","2","5","2","2","2","5",19,NA,"1","2","2","1","2","1","2","4","4","2","2",NA,14,NA,"1",3,"1","4","1","1",329.6
"3072",NA,NA,"1","1","2","1","1","2","1","8","20","1","1","1","1","0","0","2","1","0","2","3","0","5","3","1","3","2","2","1","3",34,4,"1","3",NA,"2","2","2","5",11,NA,"1","1","2","1","2","1","2","9","4","4","2",NA,11,NA,"1",1,"2","2","3","1",289.55
"3073",NA,NA,"3","1","2","1","1","2","1","4","2","1","1","1","1","0","0","2","0","1","2","2","0","1","1","2","5","2","2","1","3",33,1,"2","2",NA,"1","2","2","5",14,NA,"1","1","2","2","2","2","2","9","4","4","2",NA,16,NA,"1",1,"1","4","1","1",286.47
"3074",NA,NA,"1","1","2","0","1","2","1","2","13","1","1","1","1","0","0","1","0","0","3","1","0","1","1","1","2","2","1","2","3",37,1,"2","3","3","2","2","2","5",16,NA,"1","1","2","1","1",NA,NA,"9","4","4","2",NA,12,NA,"1",0,"1","1","1","1",352.76
"3075",NA,NA,"1","1","2","0","1","2","1","2","2","1","1","1","1","0","0","1","0","0","2","1","0","2","1","2","2","2","2","2","3",29,0,"2","1","2","2","2","2","5",15,NA,"2","1","2","2","1",NA,NA,"1","4","4","2",NA,15,NA,"1",0,"2","2","1","1",276.88
"3076",NA,NA,"1","2","2","1","1","2","1","4","4","1","1","1","1","0","1","1","0","0","2","2","0","3","1","1","0","2","2","1","3",38,0,"2","1","2","2","2","2","5",18,NA,"2","1","2","2","1",NA,NA,"9","4","4","2",NA,13,NA,"1",0,"1","4","1","1",367.85
"3077",NA,NA,"2","1","2","3","1","2","1","2","1","1","2","2","1","0","2","2","0","0","2","4","0","1","1","1","5","2","2","2","3",40,1,"2","1",NA,"2","2","1","5",12,NA,"1","1","2","1","1",NA,NA,"1","4","4","2",NA,12,NA,"1",6,"1","4","1","1",344.27
"3078",NA,NA,"2","1","2","1","1","2","1","2","1","1","2","2","1","0","0","2","0","0","2","2","0","1","1","1","4","2","2","2","3",40,1,"2","2","3","2","2","2","5",11,NA,"1","1","2","2","1",NA,NA,"1","4","4","2",NA,12,NA,"1",1,"1","2","1","1",367.9
"3079",NA,NA,"1","1","2","0","1","2","1","1","1","1","1","1","1","0","0","1","0","0","1","1","0","1","2","1","2","2","2","2","3",40,0,"2","1","3","1","2","2","5",15,NA,"1","2","2","2","2","2","2","9","4","4","2",NA,13,NA,"1",1,"1","4","1","1",295.55
"3080",NA,NA,"2","1","2","2","1","2","1","4","9","1","2","2","1","0","1","2","0","0","2","3","0","5","1","4","2","1","1","2","3",30,1,"2","2","3","1","2","2","5",7,NA,"1","1","2","1","2","2","2","9","4","4","2",NA,14,NA,"1",0,"2","4","1","1",348.99
"3081",NA,NA,"2","1","2","1","1","2","1","20","13","2","1","1","2","0","0","3","0","0","2","3","0","7","3","2","4","2","2","1","3",28,2,"2","2",NA,"2","2","2","5",18,NA,"1","1","2","1","2","1","2","7","4","4","2",NA,11,NA,"1",3,"1","1","1","1",253.31
"3082",NA,NA,"1","1","2","1","1","2","1","9","2","1","1","1","1","0","1","1","0","0","2","2","0","2","1","1","2","2","1","1","3",31,0,"2","1","2","1","2","2","5",15,NA,"1","1","2","2","1",NA,NA,"1","4","4","2",NA,11,NA,"1",0,"1","2","1","1",397.69
"3083",NA,NA,"1","1","2","0","1","2","1","20","13","1","1","1","1","0","0","2","0","0","2","2","0","5","1","2","2","2","1","1","3",37,0,"2","1","6","2","2","2","5",13,NA,"1","1","2","1","1",NA,NA,"2","4","4","2",NA,12,NA,"1",0,"1","2","1","1",413.81
"3084",NA,NA,"1","1","1","0","1","2","1","7","1","1","3","6","1","0","0","1","0","1","2","1","0","1","1","1","4","2","1","1","3",38,4,"2","3","4","2","2","1","5",17,NA,"2","1","2","2","2","2","2","9","4","4","2",NA,22,NA,"1",0,"1","4","1","1",314.51
"3085",NA,NA,"2","1","2","1","1","2","1","2","1","1","2","2","1","0","0","2","0","0","2","2","0","1","1","1","3","2","2","2","3",44,0,"2","1","5","2","2","2","5",17,NA,"2","1","2","2","1",NA,NA,"1","4","4","2",NA,14,NA,"1",0,"1","7","1","1",344.27
"3086",NA,NA,"2","1","2","0","1","2","1","15","20","1","2","2","1","0","0","1","1","0","2","2","0","7","1","4","1","2","1","2","3",31,3,"2","2","4","2","2","2","5",17,NA,"2","2","2","2","1",NA,NA,"1","4","4","2",NA,17,NA,"1",0,"1","7","1","1",355.17
"3087",NA,NA,"2","1","2","0","1","1","1","5",NA,NA,"2","2",NA,"0","0","1","0","0","6","1","1","2","1","1","4","2","1","2","3",31,2,"2","3","3","1","2","2","5",17,NA,"1","1","2","2","1",NA,NA,"1","4","4","2",NA,18,NA,"1",0,"1","4","1","1",346.8
"3088",NA,NA,"2","1","1","0","1","2","1","8","13","1","2","2","1","0","0","1","1","0","2","2","0","6","3","1","5","2","2","2","3",41,0,"2","1","5","2","2","1","5",9,NA,"1","2","2","1","1",NA,NA,"1","4","4","2",NA,13,NA,"1",4,"2","7","1","1",192.57
"3089",NA,NA,"1","1","2","2","1","2","1","15","2","1","1","1","1","0","1","2","0","0","2","3","0","2","6","3","4","2","2","1","3",32,0,"2","1",NA,"2","2","2","5",13,NA,"1","1","2","1","1",NA,NA,"1","4","4","2",NA,11,NA,"1",1,"1","5","1","2",307.3
"3090",NA,NA,"2","1","2","1","1","2","1","6","2","1","2","2","1","0","1","1","0","0","2","2","0","1","1","1","3","2","1","1","2",42,3,"2","1","3","2","1","2","5",18,NA,"1","1","2","1","1",NA,NA,"1","4","4","2",NA,16,NA,"1",1,"1","2","1","2",370.37
"3091",NA,NA,"1","1","2","1","1","2","1","15","20","1","1","1","1","0","1","1","1","0","2","3","0","4","4","1","3","2","2","2","3",33,0,"2","1",NA,"2","2","2","5",13,NA,"1","1","2","1","2","1","2","9","4","4","2",NA,15,NA,"1",0,"1","5","1","2",262.59
"3092",NA,NA,"1","1","1","0","1","2","1","8","4","1","1","1","1","0","0","2","0","0","2","2","0","1","1","1","3","2","2","2","3",37,0,"2","2","6","2","2","2","5",18,NA,"1","1","2","1","1",NA,NA,"1","4","4","2",NA,13,NA,"1",6,"1","5","1","2",398.15
"3093",NA,NA,"1","1","2","0","1","5","1","8",NA,NA,"1","1",NA,"0","0","1","0","0","1","1","1","6","2","1","5","2","2","2","3",48,0,"2","1",NA,"2","2","2","5",19,NA,"1","2","2","1","1",NA,NA,"1","4","4","2",NA,13,NA,"1",1,"1","4","1","2",222.4
"3094",NA,NA,"2","1","1","1","1","2","1","15","2","1","2","2","1","0","0","2","0","0","2","2","0","2","1","2","4","2","2","2","3",32,1,"2","2","3","2","2","2","5",17,NA,"1","1","2","1","1",NA,NA,"1","4","4","2",NA,15,NA,"1",0,"1","4","1","2",369.31
"3095",NA,NA,"4","1","2","1","1","2","1","2","9","1","2","2","1","0","1","1","0","0","2","2","0","4","1","2","4","2","2","2","1",36,1,"2","1","4","2","2","2","5",15,NA,"2","1","2","2","1",NA,NA,"1","4","4","2",NA,15,NA,"1",0,"1","7","1","2",359.77
"3096",NA,NA,"2","1","2","0","1","2","1","20","20","2","3","6","2","0","0","1","1","0","2","2","0","6","8","2","4","2","2","2","3",41,0,"2","1",NA,"2","2","2","5",18,NA,"1","1","2","1","1",NA,NA,"1","4","4","2",NA,15,NA,"1",1,"1","1","1","2",238.88
"3097",NA,NA,"3","1","2","0","1","1","1","2","2","1","1","1","1","0","0","1","1","0","2","2","0","1","1","2","4","2","2","2","3",38,0,"2","1","6","2","2","2","5",16,NA,"1","1","2","2","1",NA,NA,"1","4","4","2",NA,13,NA,"1",1,"1","4","6","2",344.08
"3098",NA,NA,"1","1","2","0","1","1","1","16","4","1","2","2","1","0","0","1","1","0","2","2","0","2","3","1","3","2","2","2","3",37,0,"2","1",NA,"2","2","2","5",16,NA,"2","1","2","2","1",NA,NA,"1","4","4","2",NA,14,NA,"1",0,"1","5","1","2",310.27
"3099",NA,NA,"3","1","2","0","1","1","1","3",NA,"1","1","1","1","0","0","2","0","0","2","2","0","1","1","1","2","2","1","2","3",36,0,"2","2","3","2","2","2","5",17,NA,"2","1","2","2","1",NA,NA,"1","4","4","2",NA,17,NA,"1",1,"1","4","1","2",389.41
"3100",NA,NA,"1","1","2","1","1","1","1","20","4","1","1","1","1","0","0","2","0","0","2","2","0","2","8","1","4","2","2","2","3",39,0,"2","1",NA,"2","2","2","5",17,NA,"2","1","2","1","1",NA,NA,"1","4","4","2",NA,15,NA,"1",0,"1","1","1","2",268.37
"3101",NA,NA,"1","1","2","2","1","1","1","2","2","2","1","1","2","0","1","2","0","0","2","3","0","2","1","1","3","2","2","2","3",39,1,"2","1","3","2","1","2","5",15,NA,"1","1","2","2","1",NA,NA,"1","4","4","2",NA,11,NA,"1",3,"1","2","1","2",419.34
"3102",NA,NA,"2","1","2","0","1","2","1","15","20","1","2","2","1","0","0","1","0","0","2","1","0","2","1","3","3","2","1","1","3",35,0,"2","1","1","2","2","2","5",16,NA,"2","1","2","2","2","2","2","9","4","4","2",NA,7,NA,"1",3,"1","5","2","2",420.84
"3103",NA,NA,"2","1","2","3","1","2","1","7","15","1","2","2","1","0","2","2","0","1","2","4","0","2","1","2","5","2","2","2","2",40,0,"2","1","3","2","2","2","5",18,NA,"1","1","2","2","1",NA,NA,"1","4","4","2",NA,14,NA,"1",1,"1","2","1","2",411.08
"3104",NA,NA,"1","2","2","2","1","1","2","15","15","1","1","1","1","0","1","2","0","0","2","3","0","6","3","1","2","2","2","2","3",38,1,"2","2",NA,"2","2","2","5",15,NA,"1","1","2","1","1",NA,NA,"1","4","4","2",NA,9,NA,"1",7,"2","5","4","2",263.22
"3105",NA,NA,"1","1","2","0","1","2","1","2",NA,NA,"1","1",NA,"0","0","1","1","0","4","2","1","1","1","1","1","2","1","1","3",39,0,"2","1","3","2","2","2","5",13,NA,"1","1","2","2","1",NA,NA,"1","4","4","2",NA,11,NA,"1",1,"1","4","6","2",304.93
"3106",NA,NA,"1","1","2","1","1","2","1","2","2","1","1","1","1","0","0","2","0","0","2","2","0","2","1","1","4","2","1","1","3",34,7,"2","3","2","1","1","2","5",13,NA,"1","1","2","2","1",NA,NA,"1","4","4","2",NA,13,NA,"1",9,"1","2","1","2",438.84
"3107",NA,NA,"2","1","2","2","1","2","1","15","3","1","2","2","1","0","1","2","0","0","2","3","0","5","1","1","5","2","2","2","3",48,0,"2","1",NA,"2","2","2","5",20,NA,"1","1","2","2","1",NA,NA,"1","4","4","2",NA,12,NA,"1",2,"1","7","1","2",406.22
"3108",NA,NA,"1","1","2","2","1","2","1","4","20","1","1","1","1","0","2","1","0","0","2","3","0","2","3","2","2","2","2","2","3",37,0,"2","1","4","2","1","1","5",11,NA,"2","1","2","2","2","2","2","9","4","4","2",NA,13,"1","1",0,"1","5","1","2",227.6
"3109",NA,NA,"1","1","2","0","1","2","1","6","13","1","1","1","1","0","0","2","0","0","2","2","0","6","1","2","3","2","1","2","3",40,0,"2","2","2","1","2","2","5",17,NA,"1","1","2","1","2","2","2","9","4","4","2",NA,5,NA,"1",0,"2","2","1","2",329.84
"3110",NA,NA,"1","1","2","1","1","2","1","1","1","1","1","1","1","0","1","1","0","1","2","2","0","2","1","1","5","2","1","2","3",36,2,"2","2","3","1","2","2","5",16,NA,"2","2","2","1","1",NA,NA,"1","4","4","2",NA,18,NA,"1",0,"1","4","1","2",387.63
