W1GrssyrHH,W1wrk1aMP,W1condur5MP,W1hea2MP,W1NoldBroHS,W1InCarHH,W1hous12HH,W1usevcHH,W1hiqualmum,W1hiqualdad,W1wrkfulldad,W1wrkfullmum,W1empsmum,W1empsdad,IndSchool,W1marstatmum,W1depkids,W1famtyp2,W1nssecfam,W1ethgrpYP,W1heposs9YP,W1hwndayYP,W1truantYP,W1alceverYP,W1bulrc,W1disabYP,W1yschat1,W2ghq12scr,W2disc1YP,W2depressYP,W4AlcFreqYP,W4CannTryYP,W4NamesYP,W4RacismYP,W4empsYP,W4schatYP,W4Childck1YP,W5JobYP,W5EducYP,W5Apprent1YP,W6JobYP,W6UnivYP,W6EducYP,W6Apprent1YP,W6acqno,W6gcse,W6als,W6OwnchiDV,W6Childliv,W6DebtattYP,W8DGHQSC,W8DMARSTAT,W8TENURE,W8DACTIVITY,W8QDEB2
-999,1,1,1,0,1,1,1,15,7,1,1,1,1,1,2,1,0,4,1,2,5,2,1,2,3,30,4,2,2,2,1,2,2,5,11,-91,1,1,2,1,1,-91,-91,1,4,4,2,-91,17,0,1,2,3,12000
-999,1,1,2,1,1,2,1,13,4,1,2,2,1,0,2,2,0,2,1,2,5,2,1,1,3,33,0,2,1,2,2,1,1,5,14,-91,1,1,2,1,2,2,2,9,4,4,2,-91,12,0,2,2,1,12000
-999,2,1,2,0,1,1,1,15,14,1,2,2,1,0,2,2,0,5,8,1,3,2,2,2,3,44,0,2,1,-91,2,2,2,5,18,-91,2,1,2,2,1,-91,-91,1,4,4,2,-91,10,5,1,5,1,12000
-999,2,1,2,2,1,2,1,9,8,1,2,2,1,0,2,4,0,5,1,2,5,2,1,2,3,42,0,2,1,5,1,2,2,1,16,-91,1,2,2,1,2,2,2,9,4,4,2,-91,12,0,1,7,1,12000
-999,1,1,2,3,1,2,1,-98,9,1,-98,-98,1,0,-98,3,1,4,1,1,2,2,1,2,3,39,0,2,1,2,2,2,2,5,19,-91,2,1,2,2,1,-91,-91,1,4,4,2,-91,16,1,1,2,1,16400
-999,2,1,1,1,1,1,1,15,20,1,2,2,1,0,2,2,0,4,1,3,2,2,2,1,3,11,0,2,2,3,1,2,2,1,11,-91,2,2,2,1,2,2,2,9,4,4,1,2,14,0,1,5,1,16500
-999,1,1,2,2,1,2,1,16,13,1,1,1,1,0,2,3,0,4,1,-1,3,2,2,2,3,37,1,2,1,5,2,2,2,5,13,-91,2,1,2,1,2,2,2,9,4,4,2,-91,12,0,2,2,1,17000
-999,1,1,2,1,1,2,1,9,13,1,1,1,1,0,2,3,0,4,1,1,5,2,1,1,3,43,0,2,1,2,1,2,2,5,11,-91,1,2,2,1,2,1,2,3,4,1,2,-91,10,0,2,1,2,20000
-999,1,1,2,2,1,2,1,20,2,1,1,1,1,0,2,3,0,5,1,1,5,2,2,1,3,43,0,2,1,-91,2,2,2,5,19,-91,1,2,2,1,1,-91,-91,1,4,4,2,-91,15,0,2,2,3,20000
-999,1,1,2,2,1,2,1,6,8,1,2,2,1,0,2,3,0,4,1,4,3,2,2,2,3,35,0,-92,1,3,1,2,2,5,16,-91,1,1,1,1,1,-91,-91,1,4,4,2,-91,17,0,1,2,1,21000
