"","W1GrssyrHH","W1wrk1aMP","W1condur5MP","W1hea2MP","W1NoldBroHS","W1InCarHH","W1hous12HH","W1usevcHH","W1hiqualmum","W1hiqualdad","W1wrkfulldad","W1wrkfullmum","W1empsmum","W1empsdad","IndSchool","W1marstatmum","W1depkids","W1famtyp2","W1nssecfam","W1ethgrpYP","W1heposs9YP","W1hwndayYP","W1truantYP","W1alceverYP","W1bulrc","W1disabYP","W1yschat1","W2ghq12scr","W2disc1YP","W2depressYP","W4AlcFreqYP","W4CannTryYP","W4NamesYP","W4RacismYP","W4empsYP","W4schatYP","W4Childck1YP","W5JobYP","W5EducYP","W5Apprent1YP","W6JobYP","W6UnivYP","W6EducYP","W6Apprent1YP","W6acqno","W6gcse","W6als","W6OwnchiDV","W6Childliv","W6DebtattYP","W8DGHQSC","W8DMARSTAT","W8TENURE","W8DACTIVITY","W8QDEB2"
"86",NA,2,1,2,2,1,4,2,20,"1","1",2,2,"1",0,2,3,0,1,7,1,3,2,2,1,3,34,4,2,2,"5",2,1,1,5,14,"Missing",1,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",22,6,"1","7",1,650
"87",NA,1,1,2,1,1,1,1,20,"20","1",1,1,"1",0,2,2,0,4,3,1,5,2,1,2,3,46,0,2,2,"3",1,2,1,5,17,"Missing",2,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",14,1,"1","5",1,700
"89",NA,1,1,2,0,1,2,1,2,"1","1",1,1,"1",1,2,2,0,1,1,1,5,2,1,2,3,39,3,2,4,"3",1,2,2,5,10,"Missing",1,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",8,1,"1","4",1,3000
"92",NA,1,1,2,1,1,2,1,6,"2","1",1,1,"1",0,2,2,0,4,1,2,3,2,1,1,2,40,2,2,1,"3",1,2,2,5,15,"Missing",1,"1","2","1",1,"Missing","Missing",1,4,4,2,"Missing",16,2,"1","7",5,10000
"118",NA,3,1,2,0,1,1,1,9,"Missing","1",1,1,"1",0,2,1,0,4,1,1,3,2,1,1,3,43,2,1,2,"2",1,2,1,5,7,"Missing",1,"1","2","1",2,"1","2",9,4,4,2,"Missing",16,4,"1","1",1,150
"121",NA,1,1,1,2,1,2,1,4,"Missing","1",1,1,"1",0,2,3,0,2,3,1,4,2,2,2,3,40,0,2,1,"5",2,1,2,5,13,"Missing",2,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",11,3,"1","5",5,400
"125",NA,3,1,2,0,1,1,1,3,"Missing","1",1,1,"1",0,2,2,0,1,1,1,2,2,1,2,3,36,0,2,2,"3",2,2,2,5,17,"Missing",2,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",17,1,"1","4",1,1500
"145",NA,2,1,2,0,1,2,1,15,"20","1",2,2,"1",0,2,1,0,2,1,3,3,2,1,1,3,35,0,2,1,"1",2,2,2,5,16,"Missing",2,"1","2","2",2,"2","2",9,4,4,2,"Missing",7,3,"1","5",2,0
"146",NA,2,1,2,1,1,2,1,6,"2","1",2,2,"1",0,2,3,0,3,1,2,2,2,1,1,3,30,0,2,1,"2",1,2,2,5,6,"Missing",2,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",16,1,"1","5",3,10
"147",NA,2,1,2,0,1,4,1,20,"20","3",2,2,"8",0,2,1,0,6,1,2,3,2,1,1,3,41,0,2,1,"3",1,2,2,5,12,"Missing",1,"2","2","1",2,"2","2",9,4,4,2,"Missing",12,1,"1","7",2,15
"148",NA,1,1,2,1,1,1,1,20,"4","1",1,1,"1",0,2,2,0,2,8,1,4,2,2,2,3,39,0,2,1,"Missing",2,2,2,5,17,"Missing",2,"1","2","1",1,"Missing","Missing",1,4,4,2,"Missing",15,0,"1","1",1,20
"149",NA,1,1,2,1,1,1,1,2,"Missing","Missing",1,1,"Missing",0,5,2,1,2,1,2,3,2,2,2,3,35,0,2,2,"2",2,2,2,5,12,"Missing",1,"1","2","1",2,"1","2",3,2,1,2,"Missing",12,2,"1","7",1,44
"150",NA,2,1,2,0,1,2,1,2,"2","1",2,2,"1",0,2,2,0,1,1,1,5,2,2,1,2,36,0,2,2,"2",2,2,2,5,14,"Missing",2,"1","2","1",2,"2","2",9,4,4,2,"Missing",17,0,"1","5",1,60
"151",NA,1,1,2,1,1,2,1,15,"4","1",1,1,"1",0,2,2,0,5,1,4,5,2,1,1,3,37,8,1,4,"1",2,2,2,4,5,"Missing",2,"1","2","2",2,"1","2",6,2,4,2,"Missing",10,9,"1","4",13,200
"152",NA,2,1,2,2,1,4,1,2,"Missing","Missing",2,2,"Missing",0,1,3,1,7,6,2,3,2,1,2,3,22,2,1,1,"6",2,2,2,5,9,"Missing",2,"1","2","2",2,"1","2",3,4,1,2,"Missing",13,0,"1","7",1,200
"153",NA,2,1,2,1,1,2,1,8,"15","1",2,2,"1",0,2,3,0,7,1,4,2,2,2,2,3,38,0,2,2,"3",2,2,2,5,15,"Missing",2,"1","2","2",2,"2","2",9,4,4,2,"Missing",12,2,"1","4",2,219
