"","W1GrssyrHH","W1wrk1aMP","W1condur5MP","W1hea2MP","W1NoldBroHS","W1InCarHH","W1hous12HH","W1usevcHH","W1hiqualmum","W1hiqualdad","W1wrkfulldad","W1wrkfullmum","W1empsmum","W1empsdad","IndSchool","W1marstatmum","W1depkids","W1famtyp2","W1nssecfam","W1ethgrpYP","W1heposs9YP","W1hwndayYP","W1truantYP","W1alceverYP","W1bulrc","W1disabYP","W1yschat1","W2ghq12scr","W2disc1YP","W2depressYP","W4AlcFreqYP","W4CannTryYP","W4NamesYP","W4RacismYP","W4empsYP","W4schatYP","W4Childck1YP","W5JobYP","W5EducYP","W5Apprent1YP","W6JobYP","W6UnivYP","W6EducYP","W6Apprent1YP","W6acqno","W6gcse","W6als","W6OwnchiDV","W6Childliv","W6DebtattYP","W8DGHQSC","W8DMARSTAT","W8TENURE","W8DACTIVITY","W8QDEB2"
"2229",14532,1,1,2,1,1,2,1,4,"20","3",1,1,"3",0,2,3,0,5,8,2,2,1,2,1,3,38,5,2,3,"Missing",2,2,2,5,11,"Missing",2,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",14,0,"1","5",1,2500
"2231",45974.76,1,1,2,0,1,2,1,15,"9","1",1,1,"1",0,2,1,0,5,1,2,2,2,2,2,3,44,0,2,1,"Missing",2,2,2,5,17,"Missing",1,"1","2","1",2,"2","2",9,4,4,2,"Missing",16,0,"2","4",1,3000
"2232",NA,1,1,2,1,1,2,1,15,"7","1",1,1,"1",0,2,3,0,4,3,1,3,2,2,1,3,34,1,1,1,"Missing",2,2,2,5,15,"Missing",2,"1","2","1",1,"Missing","Missing",1,4,4,2,"Missing",13,0,"1","1",1,1000
"2234",14560,1,1,2,0,1,2,1,7,"Missing","Missing",1,1,"Missing",0,5,1,1,3,1,1,2,1,1,1,3,42,0,1,1,"3",2,2,2,5,15,"Missing",1,"1","2","1",2,"1","2",9,4,4,2,"Missing",15,1,"1","7",1,500
"2235",14560,1,1,2,1,1,2,1,15,"Missing","Missing",1,1,"Missing",0,5,2,1,3,1,1,4,2,1,1,3,37,1,2,2,"1",2,2,2,5,13,"Missing",1,"2","2","1",2,"2","2",9,4,4,1,"1",12,0,"1","4",2,2400
"2238",14600,1,1,2,1,1,2,1,2,"Missing","Missing",1,1,"Missing",0,4,3,1,1,1,1,3,2,1,1,3,46,0,2,2,"2",1,1,1,5,16,"Missing",1,"2","2","2",2,"2","2",9,4,4,2,"Missing",17,1,"1","4",1,1000
"2239",NA,1,1,1,0,1,1,1,7,"15","1",1,1,"1",0,2,2,0,2,1,1,3,2,2,1,3,23,0,2,1,"1",1,2,2,5,9,"Missing",2,"1","2","1",1,"Missing","Missing",1,4,4,2,"Missing",16,0,"1","4",1,0
"2240",30087.2,1,1,1,1,1,2,1,9,"14","1",1,1,"1",0,2,3,0,3,1,3,0,1,1,1,3,29,1,2,4,"6",1,2,2,5,7,"Missing",1,"2","2","1",2,"2","2",9,4,4,2,"Missing",6,0,"1","4",1,13000
"2242",23134.8,1,1,2,0,1,2,1,20,"14","1",1,1,"1",0,2,1,0,5,1,4,1,1,1,1,3,34,0,2,1,"2",1,2,2,5,15,"Missing",2,"1","2","2",2,"1","2",9,4,4,2,"Missing",7,0,"1","4",1,3500
"2243",14820,1,1,2,0,1,5,1,15,"Missing","Missing",1,1,"Missing",0,1,1,1,5,1,3,2,2,1,2,3,37,0,2,2,"6",2,1,2,5,15,"Missing",1,"2","2","1",2,"2","2",9,4,4,2,"Missing",12,5,"1","4",2,4000
"2244",34851.2,2,1,2,0,1,6,1,2,"2","1",2,2,"1",0,3,1,0,3,1,2,3,2,1,1,2,25,3,2,1,"2",1,2,2,5,14,"Missing",1,"1","2","2",2,"2","2",9,4,4,2,"Missing",9,2,"1","4",1,8000
"2246",68900,2,1,2,1,1,2,1,5,"15","1",2,2,"1",0,2,2,0,1,1,2,3,2,2,2,3,41,4,2,2,"4",2,2,2,5,17,"Missing",1,"1","2","1",1,"Missing","Missing",1,4,4,2,"Missing",16,4,"1","2",1,5500
"2247",NA,1,1,2,0,1,1,1,16,"16","1",1,1,"1",0,2,1,0,2,3,2,5,2,2,2,3,40,0,2,1,"3",2,2,2,5,16,"Missing",2,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",10,0,"1","2",1,3100
"2253",15000,1,1,2,2,1,4,1,15,"19","3",1,1,"3",0,2,4,0,2,5,1,2,2,2,2,3,36,7,2,3,"Missing",2,2,2,5,18,"Missing",1,"1","2","1",2,"2","2",3,4,1,2,"Missing",10,NA,"2","2",14,500
"2254",15000,1,1,2,2,1,2,1,4,"Missing","Missing",1,1,"Missing",0,1,3,1,2,2,2,3,2,1,1,3,42,3,2,3,"3",1,2,2,5,17,"Missing",1,"1","2","1",1,"Missing","Missing",1,4,4,2,"Missing",12,1,"1","2",1,9500
"2255",23000,3,1,2,1,1,5,1,13,"9","1",1,1,"1",0,2,3,0,4,1,2,5,2,1,2,3,36,1,2,1,"2",2,2,2,5,14,"Missing",2,"1","2","1",2,"1","2",9,4,4,2,"Missing",19,2,"1","5",4,24000
"2256",29976,1,1,2,0,1,5,1,15,"20","1",1,1,"1",0,2,1,0,2,1,1,2,2,2,2,3,36,3,2,1,"2",1,2,2,5,12,"Missing",1,"2","1","1",2,"2","2",9,4,4,2,"Missing",16,0,"1","4",1,5000
"2258",35280,2,1,2,1,1,2,1,2,"11","1",2,2,"1",0,3,3,0,2,1,1,2,2,2,2,3,43,0,2,1,"3",2,2,2,5,13,"Missing",2,"2","2","2",2,"1","2",7,4,4,2,"Missing",17,0,"1","7",1,30000
"2259",38650,1,1,1,0,1,2,1,5,"2","1",1,1,"1",0,2,1,0,1,1,1,2,2,1,1,3,43,0,2,1,"3",2,2,2,5,17,"Missing",1,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",19,0,"1","2",1,700
"2260",43500,4,1,2,0,1,2,1,2,"1","1",2,2,"1",0,2,2,0,2,1,1,5,2,2,1,3,10,12,2,4,"Missing",2,2,2,5,4,"Missing",1,"2","2","2",1,"Missing","Missing",1,4,4,2,"Missing",11,12,"1","5",4,1000
"2261",46920,1,1,2,0,1,2,1,7,"7","1",1,1,"1",0,2,1,0,5,3,1,4,2,2,1,3,34,3,2,3,"Missing",2,2,2,5,15,"Missing",1,"2","2","1",1,"Missing","Missing",1,4,4,2,"Missing",17,0,"1","5",1,24000
"2262",55000,1,1,2,1,1,2,1,7,"7","1",1,1,"1",0,2,2,0,2,1,2,5,2,1,1,3,35,0,2,2,"2",1,2,2,5,14,"Missing",1,"1","2","1",2,"1","2",9,4,4,2,"Missing",12,0,"1","7",1,2000
"2263",56827.76,2,1,2,1,1,2,1,3,"2","1",2,2,"1",0,2,2,0,1,1,1,2,2,2,1,3,43,3,2,2,"4",2,2,2,5,13,"Missing",1,"1","2","1",2,"1","2",3,4,1,2,"Missing",12,1,"1","4",6,11000
"2264",62000,2,1,2,0,1,2,1,15,"7","1",2,2,"1",0,2,2,0,1,1,1,4,2,1,2,3,16,0,2,1,"2",2,2,2,5,14,"Missing",1,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",18,10,"1","4",1,9000
"2267",93000,2,1,1,1,1,2,1,4,"7","1",2,2,"1",0,2,2,0,1,1,1,2,2,1,1,3,38,8,2,4,"3",2,1,2,5,16,"Missing",2,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",17,10,"1","7",1,65000
"2268",NA,1,1,2,1,1,2,1,16,"9","1",1,1,"1",0,2,3,0,5,1,2,1,2,1,1,1,25,1,2,3,"4",1,2,2,5,15,"Missing",1,"1","2","1",2,"1","2",9,4,4,2,"Missing",12,0,"1","4",1,3500
"2269",15080,3,1,2,2,1,2,1,20,"20","1",3,6,"1",0,2,3,0,4,4,1,5,2,2,1,3,42,0,2,1,"Missing",2,2,2,5,19,"Missing",2,"1","2","1",2,"1","2",3,4,1,2,"Missing",8,0,"2","5",5,0
"2270",30433.52,1,1,2,2,1,6,1,20,"15","1",1,1,"1",0,2,3,0,5,1,1,3,2,1,2,3,41,1,2,1,"3",2,2,2,5,16,"Missing",2,"2","2","2",1,"Missing","Missing",1,4,4,2,"Missing",15,3,"1","4",1,1000
"2273",65120,2,1,2,1,1,2,1,6,"15","1",2,2,"1",0,2,3,0,1,1,1,2,2,1,1,3,39,3,2,4,"4",1,2,2,5,14,"Missing",1,"1","2","2",1,"Missing","Missing",9,4,4,2,"Missing",12,0,"1","2",2,5000
"2275",35563.2,1,1,2,0,1,2,1,15,"1","2",1,1,"2",0,2,2,0,6,7,1,3,2,2,1,2,43,7,1,4,"6",2,2,2,5,12,"Missing",2,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",17,2,"1","4",1,5500
"2277",40300,1,1,2,0,1,2,1,15,"4","1",1,1,"1",0,2,1,0,1,1,2,2,1,1,1,3,34,8,2,4,"2",1,2,2,5,13,"Missing",2,"1","2","1",2,"1","2",3,4,1,2,"Missing",12,0,"1","5",11,30000
"2278",40836,1,1,1,0,1,2,1,4,"5","1",1,1,"1",0,2,2,0,2,1,3,0,2,1,2,1,31,0,2,1,"3",2,1,2,4,12,"Missing",1,"1","1","1",2,"1","1",9,4,4,2,"Missing",8,0,"1","5",1,6000
"2279",15430.48,1,1,2,0,1,2,2,15,"Missing","Missing",1,1,"Missing",0,4,1,1,2,1,1,3,2,1,2,3,43,0,2,2,"3",2,1,2,5,16,"Missing",1,"1","2","1",1,"Missing","Missing",1,4,4,2,"Missing",9,0,"2","2",2,18000
"2280",NA,1,1,2,0,1,2,1,15,"20","1",1,1,"1",0,2,2,0,7,1,2,4,2,2,2,3,41,0,2,2,"5",2,2,2,5,11,"Missing",2,"1","2","1",2,"2","2",9,4,4,2,"Missing",11,0,"1","5",2,165
"2284",NA,1,1,2,0,1,2,1,8,"13","1",1,1,"1",0,2,1,0,2,1,4,0,2,1,2,3,20,3,2,2,"1",1,2,2,5,9,"Missing",2,"1","2","1",2,"2","2",9,4,4,2,"Missing",10,9,"1","5",2,3000
"2285",NA,2,1,2,0,1,2,1,5,"15","1",2,2,"1",0,2,2,0,3,1,2,3,2,1,2,3,38,0,2,1,"3",2,2,2,5,16,"Missing",1,"1","2","1",1,"Missing","Missing",9,4,4,2,"Missing",13,1,"3","2",3,11000
"2286",15600,1,1,1,1,1,2,2,2,"Missing","Missing",1,1,"Missing",0,4,2,1,3,1,1,2,2,1,1,3,36,0,2,1,"5",2,2,2,5,15,"Missing",2,"1","2","1",2,"2","2",9,4,4,2,"Missing",13,3,"1","4",1,1000
"2287",25449.84,1,1,1,0,1,2,1,5,"13","2",1,1,"2",0,2,1,0,2,1,1,2,2,1,2,3,26,1,2,1,"5",2,2,2,5,15,"Missing",1,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",13,0,"2","4",1,2000
"2288",30030,1,1,1,1,1,2,1,8,"15","1",1,1,"1",0,2,2,0,7,1,1,2,2,2,2,3,38,1,2,1,"5",2,2,2,5,20,"Missing",1,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",18,0,"1","7",1,8000
"2289",32600,1,1,2,0,1,2,1,7,"9","1",1,1,"1",0,3,2,0,2,1,3,1,2,1,2,3,24,5,2,1,"2",2,2,2,5,11,"Missing",1,"1","2","1",2,"1","2",9,4,4,2,"Missing",9,2,"1","4",1,4000
"2291",34450,1,1,2,0,1,2,1,20,"15","1",1,1,"1",0,2,1,0,2,1,1,4,2,1,1,3,29,4,2,2,"6",1,2,2,5,16,"Missing",1,"1","2","2",1,"Missing","Missing",2,4,4,2,"Missing",13,2,"1","2",2,40000
"2294",63120,1,1,2,1,1,2,1,20,"3","1",1,1,"1",0,2,2,0,1,1,1,2,2,2,1,3,41,4,2,3,"3",2,2,1,5,7,"Missing",1,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",20,6,"1","5",1,4000
"2295",99600,1,1,2,1,1,2,1,15,"8","1",1,1,"1",0,2,2,0,2,1,1,3,2,1,2,3,42,0,2,2,"2",1,2,2,5,12,"Missing",1,"1","2","1",1,"Missing","Missing",1,4,4,2,"Missing",16,2,"1","4",1,12000
"2296",NA,2,1,2,2,1,2,1,5,"5","1",2,2,"1",0,2,3,0,2,1,2,3,2,2,2,3,33,9,2,3,"6",2,2,2,5,7,"Missing",1,"1","2","1",2,"2","2",9,4,4,2,"Missing",11,4,"1","4",1,5000
"2297",15615.6,1,1,2,2,1,2,2,4,"Missing","Missing",1,1,"Missing",0,5,3,1,1,2,1,3,2,1,1,1,40,8,2,4,"3",1,2,1,5,7,"Missing",1,"2","2","1",2,"1","2",7,4,4,2,"Missing",12,3,"1","4",2,2000
"2298",NA,1,1,2,1,1,5,1,9,"20","1",1,1,"1",0,2,2,0,7,1,3,1,2,1,2,3,28,0,2,1,"3",1,2,2,5,13,"Missing",1,"1","2","1",2,"2","2",9,4,4,2,"Missing",12,8,"1","4",2,2000
"2299",36918.6,1,1,2,1,1,2,1,8,"13","1",1,1,"1",0,2,2,0,5,1,1,3,2,1,2,2,39,0,2,1,"3",1,2,2,5,13,"Missing",1,"1","2","1",2,"1","2",9,4,4,2,"Missing",16,7,"1","5",5,60000
"2300",15750,1,1,2,1,1,1,1,7,"4","1",3,5,"1",0,2,2,0,1,1,2,5,2,1,2,3,39,0,2,1,"3",1,1,2,5,17,"Missing",2,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",15,8,"1","4",6,250
"2301",NA,1,1,2,1,1,2,1,3,"15","1",1,1,"1",0,2,2,0,5,1,3,1,2,1,1,3,33,0,2,2,"Missing",1,2,2,5,9,"Missing",1,"2","2","1",2,"2","2",9,4,4,2,"Missing",8,0,"2","4",3,6000
"2302",41448,1,1,1,1,1,2,1,15,"7","1",1,1,"1",0,2,3,0,2,1,2,2,2,1,1,2,34,0,2,1,"2",2,2,2,5,15,"Missing",2,"1","2","1",2,"2","2",9,4,4,2,"Missing",16,0,"1","2",1,5938
"2303",NA,2,1,2,2,1,2,1,15,"7","1",2,2,"1",0,2,3,0,2,1,1,1,2,2,2,3,37,0,2,1,"5",2,2,2,5,14,"Missing",1,"1","2","1",1,"Missing","Missing",1,4,4,2,"Missing",14,0,"1","7",6,5000
"2304",16000,1,1,2,0,1,5,1,8,"Missing","Missing",1,1,"Missing",0,5,2,1,3,1,1,4,2,2,2,3,40,3,2,3,"2",2,2,2,5,16,"Missing",1,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",15,4,"1","4",1,7000
"2307",46000,1,1,2,0,1,2,1,8,"4","1",1,1,"1",0,3,1,0,1,1,2,2,2,1,2,3,43,0,1,1,"3",2,2,2,4,16,"Missing",1,"2","1","1",2,"1","2",9,4,4,2,"Missing",8,4,"2","2",1,20000
"2309",72000,1,1,2,0,1,2,1,2,"2","1",1,1,"1",1,2,1,0,1,1,2,5,2,1,1,3,35,0,2,1,"1",2,2,2,5,15,"Missing",2,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",12,0,"1","2",1,24000
"2310",91000,3,1,2,2,1,2,1,15,"7","1",1,1,"1",0,2,3,0,4,1,1,2,2,1,2,2,39,0,2,2,"3",1,2,2,5,18,"Missing",1,"2","2","1",1,"Missing","Missing",1,4,4,2,"Missing",17,1,"1","7",3,30000
"2312",16200,1,1,2,0,1,2,1,15,"Missing","Missing",1,1,"Missing",0,4,1,1,3,1,1,5,2,2,1,3,47,0,2,1,"5",2,2,2,5,19,"Missing",2,"1","2","1",2,"1","2",7,4,4,2,"Missing",10,9,"1","4",2,5000
"2313",43857.8,1,1,2,3,1,2,1,2,"7","1",1,1,"1",0,3,2,0,2,1,2,4,2,1,1,2,42,1,2,3,"Missing",2,2,2,5,13,"Missing",1,"1","2","1",1,"Missing","Missing",9,4,4,2,"Missing",12,1,"2","7",1,10000
"2315",NA,1,1,2,2,1,2,1,8,"16","1",1,1,"1",0,2,3,0,2,1,2,3,2,1,2,1,34,3,1,3,"3",1,2,2,5,13,"Missing",1,"1","2","1",2,"2","2",3,4,1,2,"Missing",11,NA,"1","4",1,21000
"2316",48854,1,1,2,0,1,2,1,15,"20","1",1,1,"1",0,2,2,0,4,1,2,2,2,1,1,3,37,0,2,1,"1",1,1,2,5,16,"Missing",1,"2","2","1",1,"Missing","Missing",1,4,4,2,"Missing",17,0,"1","2",1,15000
"2317",52910,1,1,2,0,1,2,1,4,"9","1",1,1,"1",0,2,1,0,2,1,2,4,2,1,2,3,39,0,2,1,"3",2,2,2,5,15,"Missing",2,"1","2","1",1,"Missing","Missing",1,4,4,2,"Missing",12,0,"1","7",1,800
"2318",NA,1,1,2,0,1,2,1,7,"7","1",1,1,"1",0,2,1,0,1,1,2,5,2,1,2,3,47,0,2,1,"2",2,2,2,5,16,"Missing",1,"1","2","1",2,"2","2",9,4,4,2,"Missing",8,1,"1","4",1,10000
"2319",16380,1,1,2,1,1,2,1,7,"Missing","Missing",1,1,"Missing",0,5,3,1,3,1,1,3,2,1,1,3,28,10,2,4,"2",1,2,2,5,8,"Missing",1,"1","2","1",1,"Missing","Missing",1,4,4,2,"Missing",4,6,"2","2",1,400
"2320",38220,1,1,2,1,1,2,1,3,"13","1",1,1,"1",0,2,2,0,2,1,1,1,2,1,1,3,40,3,2,3,"2",1,1,2,5,6,"Missing",1,"2","1","1",2,"2","2",9,4,4,2,"Missing",11,1,"1","7",5,350
"2321",41386.24,1,1,2,2,1,2,1,15,"15","1",1,1,"1",0,2,3,0,4,1,1,2,2,2,2,2,38,0,2,1,"Missing",2,2,2,5,17,"Missing",1,"1","2","1",2,"1","2",9,4,4,2,"Missing",16,0,"1","2",2,30000
"2322",28889.88,1,1,1,1,1,2,1,7,"15","1",1,1,"1",0,2,2,0,2,1,1,2,2,1,1,2,40,1,2,1,"4",1,2,2,2,12,"Missing",1,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",16,0,"2","2",1,10000
"2323",16400,1,1,2,1,1,2,1,15,"Missing","Missing",1,1,"Missing",0,3,2,0,2,1,3,2,2,2,1,3,39,0,2,1,"Missing",2,1,2,5,17,"Missing",1,"1","2","1",1,"Missing","Missing",1,4,4,2,"Missing",10,2,"1","2",1,4000
"2324",16476,1,1,2,1,1,4,1,5,"Missing","Missing",1,1,"Missing",0,5,2,1,6,1,2,5,2,1,1,3,42,8,2,4,"6",2,1,2,5,18,"Missing",1,"1","2","2",2,"2","2",9,4,4,2,"Missing",10,0,"4","7",1,10000
"2325",44891.6,1,1,2,1,1,2,1,15,"7","1",1,1,"1",0,2,3,0,1,1,1,3,2,2,2,3,39,0,1,1,"3",1,2,2,5,18,"Missing",1,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",15,2,"1","4",1,20000
"2327",36600,2,1,2,0,1,2,1,15,"20","1",2,2,"1",0,2,2,0,4,1,4,4,2,1,2,3,25,0,2,1,"2",1,2,2,1,9,"Missing",1,"2","2","1",2,"2","2",9,4,4,2,"Missing",10,1,"1","7",1,10000
"2328",16640,2,1,2,0,1,2,1,2,"Missing","Missing",2,2,"Missing",0,6,2,1,2,6,1,3,2,1,2,3,44,1,2,1,"4",2,2,2,5,19,"Missing",2,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",14,1,"1","7",1,24600
"2329",37232,1,1,2,2,1,2,1,15,"16","1",1,1,"1",0,3,3,0,5,1,2,1,2,1,2,3,34,0,2,1,"2",1,2,2,5,10,"Missing",1,"2","2","1",2,"2","2",9,4,4,2,"Missing",8,0,"4","4",2,5250
"2334",16796.52,1,1,2,1,1,2,1,6,"Missing","Missing",1,1,"Missing",0,5,2,1,2,6,1,3,2,1,2,3,34,0,2,1,"6",2,2,2,5,16,"Missing",2,"1","2","2",2,"1","2",3,4,1,2,"Missing",14,6,"1","2",1,2000
"2339",16800,1,1,2,0,1,2,2,19,"Missing","Missing",1,1,"Missing",0,4,2,1,3,7,3,2,2,1,1,3,31,5,2,3,"5",2,2,2,5,13,"Missing",2,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",15,1,"1","7",1,20000
"2340",21532,1,2,2,1,1,2,1,20,"7","1",2,2,"1",0,2,2,0,2,2,3,2,2,2,2,3,36,0,2,1,"5",2,2,2,5,10,"Missing",2,"1","2","1",2,"2","2",3,2,1,2,"Missing",7,0,"1","2",1,46
"2341",22944,1,1,2,2,1,2,1,2,"3","1",1,1,"1",0,2,4,0,2,1,2,1,2,1,2,3,32,0,2,2,"2",1,2,2,3,9,"Missing",1,"2","2","1",2,"1","2",9,4,4,2,"Missing",11,2,"1","2",1,7000
"2342",38400,1,1,2,2,1,2,1,7,"4","1",1,1,"1",0,2,4,0,1,1,1,3,2,1,2,3,31,3,2,4,"2",2,2,2,5,14,"Missing",2,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",19,0,"1","4",1,9000
"2343",38800,1,1,2,0,1,2,1,15,"7","1",1,1,"1",0,2,1,0,2,1,2,5,2,1,2,3,37,2,2,2,"3",2,2,2,5,15,"Missing",1,"1","2","2",1,"Missing","Missing",9,4,4,2,"Missing",17,1,"1","7",1,8000
"2347",38448,1,1,2,1,1,5,2,4,"2","1",1,1,"1",0,3,2,0,2,6,1,5,2,2,2,3,39,0,2,1,"Missing",2,2,2,5,15,"Missing",2,"1","2","2",2,"1","2",3,4,1,2,"Missing",10,4,"1","5",1,2000
"2349",36900,1,1,1,1,1,2,1,4,"5","1",1,1,"1",0,2,2,0,2,2,2,4,2,2,2,3,35,0,2,1,"4",2,2,2,5,17,"Missing",1,"1","2","1",1,"Missing","Missing",1,4,4,2,"Missing",16,0,"2","4",1,1560
"2351",33000,1,1,2,1,1,2,1,15,"15","1",1,1,"1",0,2,2,0,4,1,2,2,2,1,2,3,32,0,2,1,"1",1,2,2,5,15,"Missing",1,"1","2","1",2,"1","2",9,4,4,2,"Missing",11,1,"1","2",1,4000
"2353",40000,2,1,2,1,1,2,1,15,"2","1",2,2,"1",0,2,2,0,1,1,1,3,2,1,2,3,35,2,2,1,"2",2,2,2,5,18,"Missing",1,"1","2","1",2,"2","2",9,4,4,2,"Missing",16,2,"1","2",1,2000
"2354",40404,1,1,1,1,1,2,1,3,"9","1",1,1,"1",0,2,2,0,2,1,1,5,2,1,1,3,43,0,2,2,"3",1,2,2,5,18,"Missing",1,"1","2","1",1,"Missing","Missing",1,4,4,2,"Missing",9,2,"1","7",6,10000
"2355",47226,1,1,1,1,1,2,1,6,"8","1",1,1,"1",0,2,2,0,2,1,1,2,2,2,1,1,34,3,2,2,"5",2,2,2,5,16,"Missing",1,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",12,0,"1","4",1,7000
"2356",40248,1,1,2,0,1,2,1,15,"4","1",1,1,"1",0,2,2,0,2,1,1,2,2,2,2,3,40,0,2,1,"2",2,2,2,5,13,"Missing",1,"1","2","1",1,"Missing","Missing",1,4,4,2,"Missing",10,2,"1","7",1,200
"2357",59020,2,1,2,1,1,2,1,15,"16","1",2,2,"1",0,2,2,0,2,1,1,3,2,1,2,3,39,2,2,1,"2",2,2,2,5,11,"Missing",1,"1","2","1",1,"Missing","Missing",1,4,4,2,"Missing",17,3,"1","4",1,1000
"2358",50786.4,2,1,2,4,1,2,1,15,"15","1",2,2,"1",0,3,3,0,1,1,4,2,2,1,1,1,30,2,2,1,"6",2,1,2,5,1,"1",2,"1","2","2",2,"2","2",9,4,4,1,"1",8,1,"1","4",13,2000
"2359",17238,1,1,2,0,1,1,1,20,"15","1",3,6,"1",0,2,2,0,3,1,2,3,2,2,2,3,46,0,2,1,"5",2,2,2,5,14,"Missing",1,"2","2","1",2,"2","1",9,4,4,2,"Missing",5,0,"1","4",5,1000
"2360",17280,1,1,1,0,1,2,1,2,"Missing","Missing",1,1,"Missing",0,1,1,1,2,1,1,2,2,1,1,3,28,2,2,3,"6",2,1,2,5,9,"Missing",2,"1","2","2",2,"2","2",9,4,4,2,"Missing",8,8,"1","2",5,4678
"2361",17316,1,1,2,1,1,2,1,7,"Missing","Missing",1,1,"Missing",0,5,2,0,3,1,1,2,2,1,2,3,34,2,2,3,"3",2,2,2,5,12,"Missing",1,"1","2","1",1,"Missing","Missing",1,4,4,2,"Missing",9,6,"1","4",1,5000
"2365",30672,1,1,2,1,1,2,1,14,"14","1",1,1,"1",0,2,2,0,2,1,1,3,2,2,2,3,40,5,2,4,"Missing",2,1,2,5,16,"Missing",2,"2","2","2",2,"2","1",9,4,4,2,"Missing",11,4,"1","3",1,150
"2367",22685,1,1,2,1,1,2,1,13,"9","1",2,2,"1",0,2,3,0,5,1,1,3,2,2,2,3,31,4,2,1,"2",2,2,2,5,13,"Missing",1,"2","2","1",2,"2","2",9,4,4,2,"Missing",8,0,"Missing","4",2,2000
"2371",NA,1,1,2,0,1,2,1,4,"16","1",1,1,"1",0,2,2,0,2,1,2,1,2,1,2,3,30,0,2,1,"3",2,2,2,5,15,"Missing",1,"1","2","1",2,"2","2",9,4,4,2,"Missing",8,0,"1","2",1,30000
"2372",NA,3,1,2,0,1,2,1,2,"7","1",1,1,"1",0,2,1,0,4,1,2,4,2,1,1,3,37,7,2,3,"5",2,1,2,5,16,"Missing",1,"1","2","1",1,"Missing","Missing",1,4,4,2,"Missing",12,0,"2","4",1,4000
"2374",18000,1,1,2,0,1,2,1,7,"Missing","Missing",1,1,"Missing",0,5,1,1,2,1,1,4,2,1,2,3,35,5,2,3,"4",2,2,2,5,15,"Missing",1,"1","1","1",2,"2","2",9,4,4,1,"1",12,0,"2","3",2,600
"2376",18000,1,1,1,1,1,5,1,4,"Missing","Missing",1,1,"Missing",0,5,3,1,2,1,2,3,2,1,1,3,36,1,2,1,"2",2,2,2,5,18,"Missing",1,"1","2","2",2,"2","2",9,4,4,2,"Missing",15,0,"1","5",14,9000
"2377",18000,1,1,2,0,1,2,1,15,"Missing","Missing",1,1,"Missing",0,5,1,1,2,1,1,3,2,2,1,3,40,3,2,2,"4",2,2,2,5,18,"Missing",1,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",15,10,"1","2",1,19000
"2378",39112,1,1,2,0,1,2,1,8,"20","1",1,1,"1",0,2,1,0,7,1,3,4,1,1,1,3,31,7,2,4,"4",1,1,2,3,10,"Missing",2,"2","2","2",2,"2","2",6,2,4,2,"Missing",13,1,"1","4",13,7000
"2380",67992,1,1,2,0,1,2,1,9,"15","1",1,1,"1",0,2,1,0,2,1,1,4,2,1,1,3,35,3,2,2,"5",1,2,2,5,13,"Missing",2,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",19,3,"1","4",1,20000
"2381",207105,1,1,2,2,1,2,1,2,"9","1",1,1,"1",0,2,3,0,2,1,4,2,2,2,2,3,43,0,2,1,"3",2,2,2,5,17,"Missing",1,"1","1","1",2,"1","1",9,4,4,2,"Missing",7,2,"1","2",1,2300
"2382",18200,1,1,2,1,1,2,1,4,"Missing","Missing",1,1,"Missing",0,4,2,1,2,1,2,3,2,1,1,3,36,0,2,2,"3",2,2,2,5,17,"Missing",1,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",18,4,"1","4",1,3500
"2383",20540,1,1,2,0,1,2,1,3,"13","1",1,1,"1",0,2,1,0,3,1,2,3,2,1,1,3,43,1,2,2,"2",2,2,2,5,11,"Missing",1,"1","2","1",1,"Missing","Missing",1,4,4,2,"Missing",14,2,"2","2",1,15000
"2384",25937.6,1,1,2,1,1,2,1,2,"13","1",2,2,"1",0,2,2,0,5,1,1,3,2,1,2,3,39,0,2,1,"2",2,2,2,2,17,"Missing",1,"1","1","1",2,"2","1",8,4,3,2,"Missing",7,0,"1","4",1,10000
