W1GrssyrMP,W1GrssyrHH,W1wrk1aMP,W1condur5MP,W1hea2MP,W1NoldBroHS,W1InCarHH,W1hous12HH,W1usevcHH,W1hiqualmum,W1hiqualdad,W1wrkfulldad,W1wrkfullmum,W1empsmum,W1empsdad,W1ch0_2HH,W1ch3_11HH,W1ch12_15HH,W1ch16_17HH,IndSchool,W1marstatmum,W1depkids,W1famtyp2,W1nssecfam,W1ethgrpYP,W1heposs9YP,W1hwndayYP,W1truantYP,W1alceverYP,W1bulrc,W1disabYP,W1yschat1,W2ghq12scr,W2disc1YP,W2depressYP,W4AlcFreqYP,W4CannTryYP,W4NamesYP,W4RacismYP,W4empsYP,W4schatYP,W4Childck1YP,W5JobYP,W5EducYP,W5Apprent1YP,W6JobYP,W6UnivYP,W6EducYP,W6Apprent1YP,W6acqno,W6gcse,W6als,W6OwnchiDV,W6Childliv,W6DebtattYP,W6NEETAct,W8DDEGP,W8DGHQSC,W8DMARSTAT,W8TENURE,W8DACTIVITY,W8QMAFI,W8DINCW
50000,58112,1,1,2,0,1,2,1,16,4,1,2,2,1,0,0,1,0,0,2,1,0,1,1,1,2,2,2,1,3,39,0,2,1,4,2,2,2,2,16,-91,1,2,2,1,2,2,2,9,4,4,2,-91,10,-91,-1,0,1,7,1,1,402.65
50000,120000,2,1,2,1,1,1,1,1,2,1,2,2,1,0,0,2,0,1,2,2,0,1,1,1,4,2,1,1,3,43,0,2,1,3,2,2,2,5,20,-91,2,1,2,2,1,-91,-91,1,4,4,2,-91,19,-91,1,3,1,4,1,1,296.94
50000,135000,4,1,2,0,1,2,1,2,1,1,2,2,1,0,0,1,1,1,2,2,0,1,1,1,5,2,1,2,3,35,0,2,1,2,2,2,2,5,14,-91,2,1,2,2,2,2,2,9,4,4,2,-91,13,-91,1,2,1,4,3,3,417.8
50000,-92,4,1,2,2,1,2,1,7,9,1,2,2,1,0,1,3,1,0,2,5,0,4,1,3,4,2,1,1,3,39,0,2,1,5,2,2,2,5,13,-91,1,1,2,1,1,-91,-91,9,4,4,2,-91,14,-91,1,0,1,2,1,3,383.04
49140,98280,1,1,2,2,1,2,1,15,16,1,1,1,1,0,2,2,0,0,2,4,0,2,1,2,4,2,1,2,3,36,0,2,1,6,2,2,2,2,5,-91,1,2,2,2,2,2,2,9,4,4,2,-91,10,-91,0,4,1,4,2,1,363.63
48500,78500,1,1,2,1,1,2,1,5,5,1,1,1,1,0,0,2,0,0,2,2,0,-94,1,1,3,2,1,2,3,41,0,2,2,4,2,2,2,5,16,-91,2,1,2,2,1,-91,-91,1,4,4,2,-91,12,-91,1,4,2,2,3,1,357.83
48000,77655.6,1,1,2,1,1,2,1,2,2,1,1,1,1,0,1,1,0,0,2,2,0,2,1,3,4,2,1,1,3,39,0,2,2,2,2,2,2,5,15,-91,2,1,2,2,2,1,2,9,4,4,2,-91,8,-91,0,0,1,7,1,1,292.79
48000,96000,1,1,2,0,1,2,1,7,2,1,1,1,1,0,0,1,0,1,2,1,0,1,1,2,3,1,1,1,2,32,3,2,3,2,1,2,2,5,14,-91,2,2,2,1,2,2,2,9,4,4,2,-91,21,-91,0,0,2,1,1,1,344.04
48000,72000,1,1,2,1,1,2,1,8,15,1,1,1,1,0,1,1,0,0,2,2,0,2,1,2,4,2,1,-1,3,26,1,2,1,3,2,1,2,5,11,-91,1,1,2,1,2,1,2,3,4,1,2,-91,12,-91,0,0,1,7,1,1,373.09
48000,48000,1,1,2,1,1,2,1,15,7,1,3,6,1,0,0,2,0,0,2,2,0,2,1,3,4,2,1,1,3,34,0,2,1,5,2,2,2,9,8,-91,1,2,2,1,2,2,2,9,4,4,2,-91,10,-91,0,0,2,2,2,2,386.59
